power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,3.434734364759739e-39,1.1797400156461485e+45,2.911433298190297e-23,4.808628110663635e-13,2.975166734620239e+22
2,4.325736889268932e-39,1.871199963518206e+45,2.3117448554967572e-23,6.056031644976505e-13,3.7469530766967497e+22
2,5.447873881359374e-39,2.967932982719765e+45,1.8355784692843813e-23,7.627023433903124e-13,4.718948083008636e+22
2,6.861103804261562e-39,4.707474541285247e+45,1.4574914307212216e-23,9.605545325966187e-13,5.9430877714012864e+22
2,8.64093891268757e-39,7.466582529279825e+45,1.1572816450903162e-23,1.2097314477762598e-12,7.484780853121938e+22
2,1.0882480053198129e-38,1.1842837210825517e+46,9.189081855529073e-24,1.523547207447738e-12,9.426403676695434e+22
2,1.3705498129880964e-38,1.8784067898817059e+46,7.296341880633896e-24,1.918769738183335e-12,1.1871701793240145e+23
2,1.7260833750204319e-38,2.979363817521925e+46,5.7934629026142084e-24,2.4165167250286048e-12,1.4951333329385553e+23
2,2.1738456999430855e-38,4.725605127161044e+46,4.600142503334903e-24,3.0433839799203197e-12,1.8829850363465665e+23
2,2.7377617996610554e-38,7.495339671683341e+46,3.652618719874766e-24,3.832866519525478e-12,2.371449133661135e+23
2,3.4479630600643377e-38,1.1888449263568233e+47,2.9002630903514966e-24,4.827148284090073e-12,2.9866254298301153e+23
2,4.3423972330390705e-38,1.8856413729505376e+47,2.302875454119014e-24,6.079356126254699e-12,3.761384265635496e+23
2,5.468856075608165e-38,2.9908386775716337e+47,1.828535961039704e-24,7.65639850585143e-12,4.7371228586153976e+23
2,6.887528977809489e-38,4.743805542016543e+47,1.4518995175509811e-24,9.642540568933285e-12,5.965977255404181e+23
2,8.674219025756691e-38,7.524207570679936e+47,1.152841537700007e-24,1.2143906636059368e-11,7.513608085394549e+23
2,1.092439334182364e-37,1.1934236988688068e+48,9.153826383855446e-25,1.5294150678553095e-11,9.462708965202332e+23
2,1.3758284121315452e-37,1.892903819628409e+48,7.268348227019958e-25,1.9261597769841633e-11,1.1917425016375282e+24
2,1.7327312926214999e-37,3.0023577324297735e+48,5.771235299196743e-25,2.4258238096700996e-11,1.500891758831434e+24
2,2.1822181501385964e-37,4.7620760547943175e+48,4.58249327610298e-25,3.055105410194035e-11,1.8902372522863255e+24
2,2.748306142488852e-37,7.553186652841954e+48,3.6386048284067983e-25,3.8476285994843925e-11,2.3805826428901333e+24
2,3.4612427049798462e-37,1.1980201062776202e+49,2.8891357389103483e-25,4.845739786971785e-11,2.9981282575904076e+24
