# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
1.282969797894147632e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.165674997300612001e-61
1.331215902504307564e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.162062541530858458e-61
1.381276302832009435e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.158591603104288314e-61
1.433219225503571010e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.155256269724818224e-61
1.487115462808950781e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.152050902286106462e-61
1.543038469183561290e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.148970120435449112e-61
1.601064461318314329e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.146008789021009495e-61
1.661272522034289523e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.143162005360613730e-61
1.723744708063616429e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.140425087275146898e-61
1.788566161883458108e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.137793561834007682e-61
1.855825227755514959e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.135263154764109552e-61
1.925613572129194608e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.132829780477607813e-61
1.998026308572546554e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.130489532676935513e-61
2.073162127401226940e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.128238675498817454e-61
2.151123430182162792e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.126073635161804786e-61
2.232016469295230081e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.123990992084475081e-61
2.315951492743149629e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.121987473443860241e-61
2.403042894406964649e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.120059946145872495e-61
2.493409369951875192e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.118205410181537241e-61
2.587174078595918445e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.116420992344717415e-61
2.684464810961959529e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.114703940288737358e-61
2.785414163241763390e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.113051616900911123e-61
2.890159717909505730e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.111461494975446092e-61
2.998844231231024651e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.109931152166548285e-61
3.111615827824356870e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.108458266204808184e-61
3.228628202536726803e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.107040610361100698e-61
3.350040829913129414e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.105676049143303967e-61
3.476019181541973921e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.104362534212129164e-61
3.606734951574024421e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.103098100503269749e-61
3.742366290721976725e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.101880862543922201e-61
3.883098049059601067e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.100709010952525308e-61
4.029122027951343625e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.099580809111278110e-61
4.180637241455753497e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.098494590001687621e-61
4.337850187558984771e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.097448753194012565e-61
4.500975129608041811e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.096441761982056067e-61
4.670234388327330635e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.095472140655300375e-61
4.845858644816490823e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.094538471900877046e-61
5.028087254942474829e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.093639394328340685e-61
5.217168575554343306e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.092773600110632832e-61
5.413360302965375013e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.091939832735049225e-61
5.616929824163803460e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.091136884858381178e-61
5.828154581230839995e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.090363596260764064e-61
6.047322449462642453e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.089618851893091760e-61
6.274732129711574089e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.088901580013156511e-61
6.510693555481454950e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.088210750405965859e-61
6.755528315331639533e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.087545372683950713e-61
7.009570091165617214e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.086904494663022450e-61
7.273165113001454074e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.086287200810685386e-61
7.546672630843886509e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.085692610762603827e-61
7.830465404301182843e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.085119877904254400e-61
8.124930210614047610e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.084568188014456877e-61
8.430468371788966806e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.084036757967780000e-61
8.747496301554415368e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.083524834492965479e-61
9.076446072885356671e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.083031692984684809e-61
9.417766006869518378e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.082556636366080741e-61
9.771921283717977076e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.082098993999687178e-61
1.013939457675289646e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.081658120644452403e-61
1.052068671023620709e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.081233395456705028e-61
1.091631734193612601e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.080824221033025045e-61
1.132682567136151420e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.080430022493082732e-61
1.175277117462942670e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.080050246600611935e-61
1.219473436696735689e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.079684360920778925e-61
1.265331759388940327e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.079331853012297507e-61
1.312914585212462725e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.078992229652724628e-61
1.362286764141643971e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.078665016095448993e-61
1.413515584835392701e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.078349755356964315e-61
1.466670866343965599e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.078046007533081668e-61
1.521825053264383996e+03 2.489956252063911535e+01 0.000000000000000000e+00 1.077753349142810573e-61
